title,link,description,published,contributors
Trump builds his palace while Americans face going hungry,https://www.theguardian.com/australia-news/audio/2025/nov/04/trump-builds-his-palace-while-americans-face-going-hungry-full-story-podcast,Guardian Australia’s daily news podcast examines the US president’s moves to build a US$300m ballroom at the same time as a government shutdown leaves millions of poor Americans facing a possible freeze on their food stamps.Washington Bureau Chief David Smith speaks to Reged Ahmad about how the construction project is revealing a stark wealth divide and whether the Democrats can seize the moment,2025-11-04,Presented by Reged Ahmad with David Smith; produced by Josh Nicholas with additional production by Miles Herbert; sound design by Camilla Hannan; the executive producer is Hannah Parkes
How Zohran Mamdani charmed New York,https://www.theguardian.com/australia-news/audio/2025/nov/04/how-zohran-mamdani-charmed-new-york-full-story-podcast,Guardian US writer Adam Gabbatt and columnist Mehdi Hasan explore how Democratic nominee Zohran Mamdani has come from nowhere to the brink of becoming mayor of New York City,2025-11-04,Presented by Nosheen Iqbal with Adam Gabbatt and Mehdi Hasan; produced by Tom Glasser and Rudi Zygadlo; executive producer Sami Kent
The rising resistance to Pine Gap,https://www.theguardian.com/australia-news/audio/2025/nov/03/the-rising-resistance-to-pine-gap-full-story-podcast,"Protests on an outback road in the Northern Territory have refocused attention on Pine Gap, the secretive US satellite base near Alice Springs. The protesters have tried to block workers from accessing the facility, which they claim is aiding Israel’s genocide in Gaza.Nour Haydar speaks with senior reporter Ben Doherty about the rising resistance to Pine Gap, and the questions the spy base raises about Australia’s complicity in alleged crimes abroad",2025-11-03,"Presented by Nour Haydar, with Ben Doherty. Produced by Karishma Luthria and Nour Haydar. The executive producer is  Miles Herbert"
"Tony Blair, Jacinda Ardern, Julia Gillard – revelations from the chiefs of staff to the powerful",https://www.theguardian.com/australia-news/audio/2025/nov/02/tony-blair-jacinda-ardern-julia-gillard-revelations-from-the-chiefs-of-staff-to-the-powerful-full-story-podcast,"Former UK prime minister Tony Blair gave hand-me-down shirts to his chief of staff Jonathan Powell, Jacinda Ardern’s chief of staff reveals the former New Zealand PM loves crime TV, and Arthur Sinodinos still can’t call John Howard by his first name. These are just some of the personal revelations to come out of a new book called The Right Hand: Conversations with Chiefs of Staff to the World’s Most Powerful People.Its author, Phoebe Saintilan-Stocks, speaks with Reged Ahmad about the influential and unelected powerbrokers who have had a front-row seat to history",2025-11-02,"Presented by Reged Ahmad with Phoebe Saintilan-Stocks. Produced by Josh Nicholas, with sound design and mixing by Camilla Hannan. The executive producer is Hannah Parkes"
The great gen Z revolt,https://www.theguardian.com/australia-news/audio/2025/nov/02/gen-z-protests-nepal-madagascar-morocco-full-story-podcast,"The Guardian talks to protesters in Nepal, Madagascar and Morocco – as well as Chatham House fellow Dr Nayana Prakash – about the gen Z movements toppling governments across the world",2025-11-02,"Presented by Nosheen Iqbal with Nayana Prakash; produced by Eli Block, Sinéad Campbell and Joel Cox; executive producer Sami Kent"
Why is Trump talking about nuclear weapons?,https://www.theguardian.com/australia-news/audio/2025/nov/01/why-is-trump-talking-about-nuclear-weapons-full-story-podcast,"Less than an hour before Donald Trump met the Chinese president, Xi Jinping, to discuss a deal that could end the trade war between the two superpowers, the US president posted on Truth Social that he had directed the Pentagon to match Russia and China in nuclear weapons testing. Jonathan Freedland speaks to Jonathan Czin, the former director for China at the National Security Council, about why Trump did this and whether he or Xi left South Korea feeling the strongest",2025-11-01,"Presented by Jonathan Freedland with Jonathan Czin, produced by Danielle Stephens; the executive producer is Alexandra Topping"
Extra: Why Lily Allen has broken the internet,https://www.theguardian.com/australia-news/audio/2025/oct/30/extra-why-lily-allen-has-broken-the-internet-full-story-podcast,"In the age of streaming and playlists, it’s rare for an album to make global headlines, but Lily Allen’s latest release has done just that.West End Girl by the English singer-songwriter appears to concern her divorce from US actor David Harbour, with its detailed description of an open marriage destroyed by an affair with a woman called Madeline.YouTube Shorts host Rafqa Touma talks to deputy culture editor Sian Cain about the power of the breakup album, the rise of non-monogamy and why West End Girl has hit a nerve",2025-10-30,Presented by Rafqa Touma with Sian Cain. Produced by Stephen Byrne. Additional production by Karishma Luthria; Sound design and mix Camilla Hannan
Newsroom edition: does the Albanese government have a transparency problem?,https://www.theguardian.com/australia-news/audio/2025/oct/30/newsroom-edition-does-the-albanese-government-have-a-transparency-problem-full-story-podcast,"A report by the Centre for Public Integrity has accused the Albanese government of ‘leaning into a culture of secrecy’. Labor’s record on transparency also featured in parliament this week after independent ACT senator David Pocock led a revolt against the government for failing to produce a key report into ‘jobs for mates’.Bridie Jabour talks to the editor, Lenore Taylor, and the head of newsroom, Mike Ticher, about whether the Albanese government is failing to live up to its own expectations on transparency",2025-10-30,"Presented by Bridie Jabour, with Lenore Taylor and Mike Ticher. Produced by Miles Herbert and Camilla Hannan, with video production by Sanjana Jose"
Australia’s growing cult crisis,https://www.theguardian.com/australia-news/audio/2025/oct/29/australias-growing-cult-crisis-full-story-podcast,Guardian Australia’s daily news podcast examines why more people are falling prey to cults and whether the current laws are strong enough to help vulnerable people who might be lured in.Victoria correspondent Benita Kolovos speaks to Reged Ahmad about why more ‘modern’ cults are using new methods to recruit and promising ‘simple answers to complex problems’,2025-10-29,Presented by Reged Ahmad with Benita Kolovos; produced by Josh Nicholas with production assistance from Shadi Khan Saif; sound design and mix by Camilla Hannan; the executive producer is Hannah Parkes
Can Labor finally get a deal for the environment?,https://www.theguardian.com/australia-news/audio/2025/oct/28/labor-environment-deal-full-story-podcast,Parliament is back and the political fight over long-awaited legislation updating the Environment Protection and Biodiversity Conservation (EPBC) Act is expected to dominate debate.Political reporter Dan Jervis-Bardy tells Nour Haydar why the government is racing to negotiate a deal with either the Coalition or the Greens to fix Australia’s broken nature laws,2025-10-28,Presented by Nour Haydar with Dan Jervis-Bardy; produced by Karishma Luthria and Josh Nicholas; sound design and mix by Karishma Luthria; Executive producers Hannah Parkes and Miles Herbert
