title,link,description,published,contributors
"The legacy of Keating’s Redfern address – with Lorena Allam, Stan Grant and others",https://www.theguardian.com/australia-news/audio/2022/dec/12/the-legacy-of-keatings-redfern-address-with-lorena-allam-stan-grant-and-more,"Saturday marked 30 years since Paul Keating addressed a crowd in Redfern, and delivered what is often referred to as the greatest oratory in Australian political history. ‘The Redfern address’ was the first time a prime minister spoke about the dispossession and violence Aboriginal and Torres Strait Islander peoples had survived.Those who were there, including Stan Grant, Sol Bellear and Guardian Australia’s Indigenous affairs editor Lorena Allam remember the impact of the speech and discuss its legacy on politics today",2022-12-12,"Reported by Lorena Allamand presented by Laura Murphy-Oates; produced by Joe Koning, Joey Watsonand Karishma Luthria; the executive producer of this episode is Laura Murphy-Oates"
Robodebt: a devastating failure of policy – with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2022/dec/09/robodebt-a-devastating-failure-of-policy-with-lenore-taylor,"The scheme that has been described as a shameful chapter in Australian history was supposed to balance the budget and save the government $1.5bn. But after robodebt was found to be unlawful, the government was forced to pay out $1.8bn in settlements to victims. How did it come to this?In this episode of Full Story, Gabrielle Jackson talks to Lenore Taylor and Mike Ticher about the failure of public servants, of politicians, and the unimaginable human cost brought to light during the royal commission into the robodebt scheme",2022-12-09,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher . Produced by Miles Herbert and Camilla Hannan . Executive produced by Gabrielle Jackson
The draconian law that saw climate activist Violet Coco jailed,https://www.theguardian.com/australia-news/audio/2022/dec/07/the-draconian-laws-that-jailed-climate-activist-violet-coco,"Climate protester Violet Coco’s 15-month jail term for demonstrating on the Sydney Harbour Bridge has raised alarm amongst environmentalists, human rights organisations and a UN special rapporteur. She is the first person to be sentenced to prison under NSW anti-protest laws introduced in April. Environment editor Adam Morton explains to Jane Lee how this decision, and a number of other anti-protest laws across Australia, will affect the future of climate protest",2022-12-07,"Presented by Jane Lee, reported by Adam Morton, produced by Karishma Luthria, Miles Herbert, and Jane Lee, sound design and mixing by Joe Koning. Executive producers Gabrielle Jackson, Molly Glassey, Laura Murphy-Oates"
Imprisoned for being HIV positive,https://www.theguardian.com/australia-news/audio/2022/dec/07/imprisoned-for-being-hiv-positive,"In more than 80 countries, people living with HIV still face criminalisation. We hear from two people who faced criminal charges in the US",2022-12-07,Presented by Hannah Moore with Amelia Abraham; produced by Lucy Hough and Rudi Zygadlo; executive producer Elizabeth Cassin
The Australian investors caught in the crypto crash,https://www.theguardian.com/australia-news/audio/2022/dec/06/the-australian-investors-caught-in-the-crypto-crash,"Around 30,000 Australian investors were caught up in the collapse of cryptocurrency platform FTX last month, after it which filed for bankruptcy in the US. Now attention has turned to FTX’s operations in Australia and how it came to obtain a financial services licence, which some experts say may have given investors the ‘wrong impression’. Reporter Josh Taylor speaks to Laura Murphy-Oates about how this collapsed cryptocurrency platform came to operate in Australia",2022-12-06,Presented by Laura Murphy-Oates and reported by Josh Taylor. Produced by Joey Watson and Ellen Leabeater. Sound design and mix by Camilla Hannan. Executive ProducerGabrielle Jackson
China’s zero-Covid protests,https://www.theguardian.com/australia-news/audio/2022/dec/05/how-far-could-chinas-zero-covid-protests-go,China has been rocked by an outpouring of communal anger at the government’s restrictive zero-Covid lockdown policies. Could the protests develop into something more substantial? Tania Branigan reports,2022-12-05,"Presented by Michael Safi with Tania Branigan; produced by Alex Atack, Safi Bugel and Rudi Zygadlo; executive producer Phil Maynard"
Have the Nationals derailed the voice to parliament?,https://www.theguardian.com/australia-news/audio/2022/dec/02/have-the-nationals-derailed-the-voice-to-parliament,"This week the National party said they will not support the proposal for an Indigenous voice to parliament, derailing hopes for bipartisan support for a referendum on Indigenous constitutional recognition. In this episode of Full Story, Gabrielle Jackson speaks to Lenore Taylor, Lorena Allam and Mike Ticher about whether the politics is getting in the way of a genuine debate",2022-12-02,"Presented by Gabrielle Jackson with Lenore Taylor, Lorena Allam and Mike Ticher. Produced by Ellen Leabeater, Daniel Semo and Karishma Luthria. Executive producer Gabrielle Jackson."
Anthony Albanese and the new politics – with Katharine Murphy,https://www.theguardian.com/australia-news/audio/2022/dec/01/anthony-albanese-and-the-new-politics-with-katharine-murphy,"The Labor party went to the 2022 election promising Australians a new kind of politics. Six months on, is the party living up to this promise? And how is Anthony Albanese – once known as a fierce partisan fighter – reckoning with his role as the leader of a progressive parliament stacked with teal independents and the Greens?Political editor Katharine Murphy talks to Laura Murphy-Oates about the transformation of Albanese, and his plan to navigate this new political landscape to create a long-term Labor government",2022-12-01,"Presented by Laura Murphy-Oates, reported by Katharine Murphy, produced by Jane Lee and Joe Koning, who also did the sound design and mixing. Executive producers  Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates"
How to fix Australia’s insurance crisis,https://www.theguardian.com/australia-news/audio/2022/nov/30/how-to-fix-australias-insurance-crisis,"While touring flood-ravaged areas of NSW, the prime minister, Anthony Albanese, faced questions about the exorbitant cost of flood insurance, which has proved prohibitive for many residents in high-risk areas. Experts say rising costs associated with climate crisis hazards are making more and more homes uninsurable nation-wide.Laura Murphy-Oates speaks to reporter Christopher Knaus and insurance analyst Karl Mallon about how to fix Australia’s insurance problem",2022-11-30,"Presented by Laura Murphy-Oates, reported by Christopher Knaus. Produced by Miles Herbert, Joey Watson and Karishma Luthria. Sound design and mixing by Camilla Hannan. Executive producers Gabrielle Jackson, Molly Glassey, Miles Martignoni and Laura Murphy-Oates"
A blow for independence in Scotland,https://www.theguardian.com/australia-news/audio/2022/nov/29/a-blow-for-independence-in-scotland,The supreme court has ruled that the Scottish parliament cannot hold a second referendum without Westminster’s approval. Where does that leave the independence movement?,2022-11-29,"Presented by Nosheen Iqbal with Libby Brooks. Produced by Alex Atack, Sarah Lawrynuik and Rudi Zygadlo. Additional production by Karishma Luthria. Executive producer Homa Khaleeli."
