title,link,description,published,contributors
Can NSW contain the Delta outbreak?,https://www.theguardian.com/australia-news/audio/2021/jul/28/can-nsw-contain-the-delta-outbreak,"New South Wales is struggling to contain Australia’s largest-ever outbreak of the infectious Delta variant of Covid-19. Guardian Australia’s medical editor Melissa Davey discusses what more can be done to bring down case numbers, and why other states and territories should pay attention to what’s happening there",2021-07-28,"Presented by Laura Murphy-Oates and reported by Melissa Davey. Produced by Jane Lee and  Sound design by Camilla Hannan . Additional production Karishma Luthria. Executive producersGabrielle Jackson,  Miles Martignoni and Laura Murphy-Oates"
Guardian Australia’s guide to an Olympics like no other,https://www.theguardian.com/australia-news/audio/2021/jul/27/guardian-australias-guide-to-an-olympics-like-no-other,"It’s been a tumultuous start for the Tokyo Olympics with protests outside the opening ceremony, a series of controversies around sexism and racism, and some athletes testing positive for Covid-19. Despite ongoing concerns about an outbreak, athletes are persevering, with predictions of a record year for the Australian medal tally.Deputy sports editor Emma Kemp discusses the highs and lows of the Olympics so far, and what to watch out for in the Games ahead",2021-07-27,"Presented by Laura Murphy-Oates; reported by Emma Kemp; produced by Ellen Leabeater, Karishma Luthria, and Joe Koning; additional production by Jane Lee and Miles Herbert; executive producers Miles MartignoniGabrielle Jackson and Laura Murphy-Oates"
Surveillance and cyber-weapons on the ground in Mexico,https://www.theguardian.com/australia-news/audio/2021/jul/26/surveillance-and-cyber-weapons-on-the-ground-in-mexico,"Michael Safi hears from Nina Lakhani on how 15,000 Mexicans, including journalists and politicians, appeared on a list of possible targets for surveillance",2021-07-26,Presented by Michael Safi with Nina Lakhani ; produced by Joshua Kelly and Axel Kacoutié; executive producers Nicole Jackson and Phil Maynard
"As climate disasters unfold worldwide, can Australia resist change? – with Lenore Taylor",https://www.theguardian.com/australia-news/audio/2021/jul/23/as-climate-disasters-unfold-worldwide-can-australia-resist-change-with-lenore-taylor,"Increasing bushfires, floods and rising temperatures around the world make action on the climate crisis even more urgent, but Australia remains at a standstill. Guardian Australia editor Lenore Taylor and head of news Mike Ticher discuss Australia’s laggard approach to climate change, and why it’s important not to lose hope in the face of climate disaster",2021-07-23,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Miles Herbert and Camilla Hannan. The executive producer is Miles Martignoni
Postcards from lockdown in south-west Sydney,https://www.theguardian.com/australia-news/audio/2021/jul/22/postcards-from-lockdown-in-south-west-sydney,"As the NSW Covid outbreak worsens, attention has focused on three local government areas in the south-west of Sydney – Fairfield, Canterbury-Bankstown and Liverpool. As cases rise, extra police have been deployed and all non-essential workers have been told they cannot leave their area. In this episode, five people who live or work in south-west Sydney speak about life in lockdown, and what they think about the response from the state government, media and the police",2021-07-22,"Presented by Laura Murphy-Oates and produced by Ellen Leabeater, Karishma Luthria,  Allison Chan, Miles Herbert. Sound design by Joe Koning. The executive producers are Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates."
A historic decision on the future of the Great Barrier Reef,https://www.theguardian.com/australia-news/audio/2021/jul/21/a-historic-decision-on-the-future-of-the-great-barrier-reef,"This week, Unesco’s World Heritage Committee will decide whether the Great Barrier Reef should be labelled ‘in danger’. If this happens, it will be the first time a natural world heritage site has received this status due to the impacts of climate change. Environment reporter Graham Readfearn explains how the Morrison government is turning to an old playbook to lobby against this move. He also explores what an ‘in danger’ listing would mean for the future of the reef, and for Australia’s approach to climate change",2021-07-21,"Presented by Laura Murphy-Oates; reported by Graham Readfearn; produced by Jane Lee and Camilla Hannan; additional production by Allison Chan , Karishma Luthria,  Ellen Leabeater and Joe Koning; executive producers Miles Martignoni,  Gabrielle Jackson and Laura Murphy-Oates"
How a phone hacking tool was sold to governments around the world,https://www.theguardian.com/australia-news/audio/2021/jul/20/how-a-phone-hacking-tool-was-sold-to-governments-around-the-world,"Investigative reporter Stephanie Kirchgaessner tells Michael Safi how a technology company’s clients have apparently selected journalists, activists and politicians in advance of possible surveillance",2021-07-20,Presented by Michael Safi and reported by Stephanie Kirchgaessner and Paul Lewis. Produced by Joshua Kelly and Axel Kacoutié; executive producers Phil Maynard and Nicole Jackson
General confusion: who is the military man charged with rolling out Australia’s Covid vaccine?,https://www.theguardian.com/australia-news/audio/2021/jul/19/general-confusion-who-is-the-military-man-charged-with-rolling-out-the-covid-vaccine,In early June Lt Gen John Frewen was appointed coordinator general of Australia’s national Covid vaccine taskforce. Since then he’s popped up on television and radio talking about the rollout. But what exactly does his job entail? And why is a military man leading a public health response? Political reporters Amy Remeikis and Daniel Hurst explain,2021-07-19,"Presented by  reported by Laura Murphy-Oates, reported by Amy Remeikisand Daniel Hurst. Produced by Ellen Leabeater Soofia TariqCamilla HannanJoe Koning  and Jane Lee. Executive Producers Miles Martignoni and Gabrielle Jackson"
The treacherous politics of Covid-19 – with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2021/jul/16/the-treacherous-politics-of-covid-19-with-lenore-taylor,"The Delta variant has seemingly foiled Australia’s best laid pandemic plans. As politicians point fingers, case numbers are growing, and cities are going back into lockdown. Editor in chief Lenore Taylor and head of news Mike Ticher discuss why lessons have not been learnt from the first wave of the pandemic",2021-07-16,"Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Ryan Pemberton, Miles Herbert, and Soofia Tariq. The executive producer is Miles Martignoni"
Vanuatu’s golden passports,https://www.theguardian.com/australia-news/audio/2021/jul/15/vanuatus-golden-passports,"A Guardian investigation has revealed that a scheme allowing foreign nationals to purchase citizenship in Vanuatu saw more than 2,000 people granted “golden passports” – and with it visa-free access to the EU and UK – in 2020. Among them are senior political figures from around the world, as well as several convicted and alleged criminals. While such citizenship schemes are not illegal or unusual, some experts have warned that this system could create a backdoor for criminals to enter the EU, and may encourage illegal operations in the broader Pacific area. Pacific Editor Kate Lyons and freelance reporter Euan Ward speak to Laura Murphy-Oates about how this passport scheme works and how it could be exploited",2021-07-15,"Presented by Laura Murphy-Oates and reported by Euan Ward and Kate Lyons ; produced by Ellen Leabeater, Joe Koning, Camilla Hannan, Allison Chan,  and Jane Lee. The executive producers are Miles Martignoni and Gabrielle Jackson"
