title,link,description,published,contributors
‘We heard the curlews calling’: Wesley Enoch’s enduring connection to place,https://www.theguardian.com/australia-news/audio/2024/jan/10/we-heard-the-curlews-calling-wesley-enochs-enduring-connection-to-place-podcast,"Playwright, theatre director and Quandamooka man Wesley Enoch on how a wedding ring, curlews and a ‘grandfather’ ghost gum brought him the connection to country he craved. The tale I dine out on is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-10,Produced by Allison Chan and Karishma Luthria; sound design and mixing by Camilla Hannan; executive producers Hannah Parkes and Miles Martignoni
Wendy Harmer on her Oscars letdown,https://www.theguardian.com/australia-news/audio/2024/jan/09/wendy-harmer-on-her-oscars-letdown-podcast,"When author and broadcaster Wendy Harmer was sent to cover the Academy Awards, she was thrilled. But the star-filled night was plagued with a series of mishaps. The tale I dine out on is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain.",2024-01-09,"Produced by Daniel Semo, Allison Chan and Karishma Luthria; sound design and mixing by Camilla Hannan; executive producers Hannah Parkes and Miles Martignoni"
William McInnes on his ‘perm of love’,https://www.theguardian.com/australia-news/audio/2024/jan/08/william-mcinnes-on-his-perm-of-love-podcast,"When the actor and author’s childhood crush turned up as his hairdresser, he felt compelled to listen to her advice. The makeover he received became his ‘Everest’ of 1979. The tale I dine out on is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-08,"Produced by Allison Chan, Daniel Semo and Karishma Luthria; sound design and mixing by Camilla Hannan; executive producers Hannah Parkes and Miles Martignoni"
Kylie Kwong on a moment that changed her strongman father forever,https://www.theguardian.com/lifeandstyle/audio/2024/jan/05/kylie-kwong-on-a-moment-that-changed-her-strongman-father-forever-full-story-podcast,"Chef and restaurateur Kylie Kwong grew up with family dinners filled with her mother’s Cantonese cooking. But dinners stopped for two nights after Kwong came out to her dad as gay. What happened next was something she never could have imagined. The tale I dine out on is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-05,"Produced by Allison Chan, Karishma Luthria and Daniel Semo; sound design and mixing by Daniel Semo; executive producers Hannah Parkes and Miles Martignoni"
Mike Bowers on the Brussels pub crawl that birthed Talking Pictures,https://www.theguardian.com/australia-news/audio/2024/jan/04/mike-bowers-on-the-brussels-pub-crawl-that-birthed-talking-pictures-full-story-podcast,"Mike Bowers is Guardian Australia’s photographer-at-large and host of Talking Pictures on ABC’s Insiders. In this episode of ‘The tale I dine out on’ he tells the story of how the idea for the show started on a drunken night in a Brussels pub and reflects on 20 years of photographing Australian politics. ‘The tale I dine out on’ is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-04,"Produced by Allison Chan, Pamela Rontziokos and Karishma Luthria; sound design and mixing by Daniel Semo; executive producers Hannah Parkes and Miles Martignoni"
Rhys Nicholson on being mugged … twice,https://www.theguardian.com/australia-news/audio/2024/jan/03/rhys-nicholson-on-being-mugged-twice-full-story-podcast,"Comedian Rhys Nicholson has a strong instinct for muggings because it’s happened many times. But they don’t always go the way either side expects. In this episode Nicholson tells the story of a ‘very, very polite mugging’ in which the thief made a rather unexpected declaration. The tale I dine out on is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-03,"Produced by Miles Martignoni, Allison Chan and Daniel Semo; sound design and mixing by Daniel Semo; executive producers Hannah Parkes and Miles Martignoni"
‘Chased out of town’: Amy Remeikis on the great Texas cake controversy,https://www.theguardian.com/australia-news/audio/2024/jan/02/chased-out-of-town-amy-remeikis-on-the-great-texas-cake-controversy-full-story-podcast,"Guardian Australia’s political reporter Amy Remeikis loves country shows – from the performances and fresh food to the $1 cake and tea. So when she wrote a story about her country show experience in Texas, Queensland she was hardly expecting to be banned from visiting again.‘The tale I dine out on’ is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-02,"Produced by Allison Chan, Daniel Semo, Karishma Luthria and James Milsom; sound design and mixing James Milsom; executive producers Hannah Parkes and Miles Martignoni"
Yumi Stynes on snogging Robbie Williams,https://www.theguardian.com/lifeandstyle/audio/2024/jan/01/yumi-stynes-on-kissing-robbie-williams-live-tv-full-story-podcast,"Twenty-three years ago podcaster and author Yumi Stynes was auditioning to be on live TV when something extraordinary happened. In this first episode of Full Story’s special summer series The tale I dine out on, Stynes shares how her ‘horniness’ for her first media job led to an extremely up-close encounter with singer Robbie Williams. The tale I dine out on is a summer series from 10 of our favourite storytellers – actors, comedians, writers and Guardian staff – in which they recount a story that never fails to entertain",2024-01-01,"Produced by Allison Chan, Daniel Semo and Karishma Luthria; sound design and mixing by Joe Koning; executive producers Hannah Parkes and Miles Martignoni"
Full Story revisited: The closure of the Uluru climb,https://www.theguardian.com/australia-news/audio/2023/dec/29/full-story-revisited-the-closure-of-the-uluru-climb-podcast,"In 2019, after the world was told that the Uluru climb would close, waves of tourists flocked to the rock as media commentators insisted that the broader public was being robbed of their rights. Indigenous affairs editor Lorena Allam went to Uluru to speak to the Anangu people about the complex relationship between their community, tourists and their sacred sites",2023-12-29,Presented by Laura Murphy-Oates with Lorena Allam. Produced by Ellen Leabeater and Joe Koning. Executive producer Miles Martignoni
Full Story revisited: Where did all the Antarctic sea ice go?,https://www.theguardian.com/australia-news/audio/2023/dec/28/full-story-revisited-where-did-all-the-antarctic-sea-ice-go-podcast,"In February 2023 the floating sea ice around Antarctica hit a record low for the second year running. But the moderate alarm from scientists at that record low is now being overlaid by astonishment – with some worried they could be witnessing the start of a slow collapse of the delicate southernmost ecosystem.Guardian Australia environment reporter Graham Readfearn and oceanographer Dr Will Hobbs tell Laura Murphy-Oates about why this melting is happening, and the major knock-on effects for the rest of the planet",2023-12-28,Presented by Laura Murphy-Oates with Graham Readfearn; produced by Joe Koning; sound design by Daniel Semo and Joe Koning; executive producer Hannah Parkes
Full Story revisited: Anna Funder on the ‘invisible labour’ behind George Orwell’s writing,https://www.theguardian.com/australia-news/audio/2023/dec/27/full-story-revisited-anna-funder-on-the-invisible-labour-behind-george-orwells-writing-podcast,"Wifedom: Mrs Orwell’s Invisible Life sheds new light on how George Orwell’s wife Eileen O’Shaughnessy helped write some of his most famous works. The author, Anna Funder, speaks to Jane Lee about what the Orwells’ marriage can teach us about power, wives and the patriarchy",2023-12-27,"Presented by Jane Lee, produced by Allison Chan, sound design and mixing by Daniel Semo, executive producer Gabrielle Jackson"
Full Story revisited: Why did Australian fashion fall to pieces?,https://www.theguardian.com/australia-news/audio/2023/dec/26/full-story-revisited-why-did-australian-fashion-fall-to-pieces-podcast,"Over the past 30 years many of Australia’s biggest fashion brands have shut their doors under pressure from the global luxury market, fast fashion competitors and rising manufacturing costs.Lifestyle editor Alyx Gorman and fashion journalist and author Lucianne Tonti explain to Jane Lee why Australia’s golden era of fashion ended and what the future holds for up-and-coming designers",2023-12-26,Presented by Jane Lee with Lucianne Tonti and Alyx Gorman; produced by Karishma Luthria ; sound design and mixing by Joe Koning; executive producer Hannah Parkes
Full Story revisited: Steely Dan’s holy grail,https://www.theguardian.com/australia-news/audio/2023/dec/25/full-story-revisited-steely-dans-holy-grail,"US rock band Steely Dan’s song The Second Arrangement has developed a cult following since it was accidentally wiped in the studio in 1979. Now the family of recording engineer Roger Nichols have found a never-before-heard version – and the community is ‘freaking out’.Guardian Australia audio producer Joe Koning navigates the long journey the Nichols family went through, from finding the recording to sharing it with the world",2023-12-25,Produced by Joe Koning and Karishma Luthria; sound design by Joe Koning; executive producers Hannah Parkes and Miles Martignoni
"How the Guardian covered 2023, with Katharine Viner",https://www.theguardian.com/australia-news/audio/2023/dec/22/how-the-guardian-covered-2023-with-kath-viner-full-story-podcast,"The Guardian’s editor-in-chief, Katharine Viner, talks about how the newspaper covered a year that witnessed the Israel-Gaza war, the coronation of King Charles, the rise of AI and record high temperatures",2023-12-22,Presented by Nosheen Iqbal with Katharine Viner; produced by Courtney Yusuf and Solomon King; additional production Camilla Hannan; executive producer Elizabeth Cassin
