title,link,description,published,contributors
What does bird flu mean for Australia?,https://www.theguardian.com/australia-news/audio/2024/may/27/what-does-bird-flu-actually-mean-for-australia-full-story-podcast,"A highly pathogenic strain of bird flu, H5N1, has been detected in Australia for the first time, although there is no evidence of the disease spreading. At the same time a more common strain of the disease, H7N3, has been detected in two chicken egg farms in Victoria.Matilda Boseley speaks to Guardian Australia’s rural and regional editor Calla Wahlquist about why the poultry industry is worried – but everyday Australians don’t need to panic just yet",2024-05-27,Presented by Matilda Boseley with Calla Wahlquist. Produced by Joe Koning and Luca Ittimani. Sound design and mix by Camilla Hannan. Executive producer Hannah Parkes
Newsroom edition: why the Coalition’s nuclear policy makes no sense,https://www.theguardian.com/australia-news/audio/2024/may/24/newsroom-edition-why-the-coalitions-nuclear-policy-makes-no-sense-full-story-podcast,Opposition leader Peter Dutton is once again pitching nuclear power as the Coalition’s signature energy policy. But new analysis confirms it would be the most expensive energy option in Australia’s road to net zero.Gabrielle Jackson speaks to editor-in-chief Lenore Taylor and deputy editor Patrick Keneally about why a nuclear transition is the wrong path for Australia,2024-05-24,Presented by Gabrielle Jackson  with Lenore Taylor and Patrick Keneally. Produced by Miles Herbert and Luca Ittimani. Sound design and mixing by Camilla Hannan and Cinnamon Nippard
Greg Lynn trial: murder or ‘tragic accident’?,https://www.theguardian.com/australia-news/audio/2024/may/22/greg-lynn-trial-or-tragic-accident-full-story-podcast,"In March 2020 Russell Hill and Carol Clay, both in their 70s, went missing while camping in Victoria’s alpine region. Gregory Stuart Lynn has pleaded not guilty to the alleged double murder of the couple in Victoria’s supreme court. Courts and justice reporter Nino Bucci tells Nour Haydar about the trial’s latest developments  You can support the Guardian at theguardian.com/fullstorysupport",2024-05-22,"Presented by Nour Haydar with Nino Bucci. Produced by Allison Chan, Karishma Luthria and Joe Koning who also did the sound design and mix. Executive producer Hannah Parkes"
Peter Dutton’s populist migration policy,https://www.theguardian.com/australia-news/audio/2024/may/22/peter-duttons-populist-migration-policy-full-story-podcast,"In his budget reply last week, Peter Dutton promised to slash permanent migration by 25% – a move he says could ease pressure on the housing market. Chief political correspondent Paul Karp tells Nour Haydar why the opposition leader has zeroed in on the issue and what it could mean in a pre-election year  You can support the Guardian at theguardian.com/fullstorysupport",2024-05-22,Presented by Nour Haydar with Paul Karp. Produced by Miles Herbert and Luca Ittimani. Sound design and mixing by Camilla Hannan. Executive producer Hannah Parkes
What keeps the world’s top climate scientists up at night?,https://www.theguardian.com/australia-news/audio/2024/may/20/what-keeps-the-worlds-top-climate-scientists-up-at-night-full-story-podcast,Hundreds of experts expect global temperatures to rise to at least 2.5C above preindustrial levels by 2100. Damian Carrington reports,2024-05-20,Presented by Hannah Moore with Damian Carrington. Produced by Ruth Abrahams and Rudi Zygadlo. Executive producer Elizabeth Cassin
Gaza through the eyes of two Australian doctors,https://www.theguardian.com/australia-news/audio/2024/may/20/gaza-through-the-eyes-of-two-australian-doctors-full-story-podcast,"Warning: this episode contains descriptions of graphic images that some viewers may find distressing. Last month, two Australian doctors spent two weeks in Gaza treating countless injured Palestinians. Surgeon Sanjay Adusumilli and general practitioner Siraj Sira tell Nour Haydar why they left Sydney to volunteer in the besieged territory, the pain they witnessed and the feelings of guilt on return  You can support the Guardian at theguardian.com/fullstorysupport",2024-05-20,"Presented by Nour Haydar and produced by Allison Chan, Camilla Hannan and Joe Koning, who also did the sound design and mix. Executive producer Hannah Parkes"
Jim Chalmers on his budget balancing act,https://www.theguardian.com/australia-news/audio/2024/may/17/jim-chalmers-on-his-budget-balancing-act-full-story-podcast,"Guardian Australia’s political editor, Karen Middleton, speaks with the treasurer, Jim Chalmers, about whether his third budget can really provide cost-of-living relief without fuelling inflation  Exclusive: Labor to run $45m taxpayer-funded Future Made In Australia advertising campaign",2024-05-17,Presented by Karen Middleton. Produced by Miles Herbert and Joe Koning. Executive producer Hannah Parkes
Put it down! Should children be allowed smartphones?,https://www.theguardian.com/australia-news/audio/2024/may/15/put-it-down-should-children-be-allowed-smartphones-full-story-podcast,Almost all children have them by the time they are 11 years old – and some get them at four. But are they ruining childhoods? Blake Montgomery reports,2024-05-15,Presented by Helen Pidd with Blake Montgomery and Annalisa Barbieri. Produced by Eli Block and Solomon King. Executive producer Homa Khaleeli.
Lenore Taylor and Karen Middleton unpack budget 2024,https://www.theguardian.com/australia-news/audio/2024/may/14/lenore-taylor-and-karen-middleton-unpack-budget-2024-full-story-podcast,"Editor-in-chief Lenore Taylor and political editor Karen Middleton speak to Nour Haydar about the budget Labor hopes will bring down inflation, ease cost-of-living pressures and win the next election",2024-05-14,Presented by Nour Haydar with Lenore Taylor  and Karen Middleton. Produced by Miles Herbert with sound design and mix by Joe Koning.
Can the Queensland police service change?,https://www.theguardian.com/australia-news/audio/2024/may/13/can-the-queensland-police-service-change-full-story-podcast,"In February, the Queensland police service sacked its First Nations advisory body after their refusal to sign a contract with a gag clause. Queensland state correspondent Ben Smee tells Nour Haydar how members of the group had repeatedly raised concerns that the police leadership had stalled on cultural reforms following a damning inquiry in 2022 into police responses to family and domestic violence  You can support the Guardian at theguardian.com/fullstorysupport",2024-05-13,Presented by Nour Haydar with Ben Smee. Produced by Karishma Luthria. Sound design and mixing by Camilla Hannan. Executive producer Hannah Parkes.
