title,link,description,published,contributors
How Isaiah survived Australia's juvenile justice system,https://www.theguardian.com/australia-news/audio/2021/jan/22/how-isaiah-survived-australias-juvenile-justice-system,"As a kid, Isaiah couldn’t escape the police. He went on to spend his teenage years in and out of youth detention. Now this young Dunghutti man is trying to change how our justice system treats Indigenous children",2021-01-22,"Reported and presented by Laura Murphy-Oates. Produced by Ellen Leabeater , Miles Herbert and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson"
The Indigenous family fighting back against a legacy of police brutality,https://www.theguardian.com/australia-news/audio/2021/jan/21/the-indigenous-family-fighting-back-against-a-legacy-of-police-brutality,Thirra was six when he was taken from his family and 18 when a police van knocked him off his feet after a beating. Now he tells his story to Laura Murphy-Oates. After seeing footage of his son’s treatment at the hands of a New South Wales officer he speaks about the cycle of police brutality he’s spent his life trying to escape – and the despair he felt seeing his children treated the same way.,2021-01-21,"Presented by Laura Murphy-Oates, produced by Jake Morcom, Ellen Leabeater, Joe Koning and Jon Tjhia. The executive producers are Miles Martignoni and Gabrielle Jackson"
"Lenore Taylor on why truth, facts and journalism are more important to democracy than ever",https://www.theguardian.com/australia-news/audio/2021/jan/20/lenore-taylor-on-why-truth-facts-and-journalism-are-more-important-to-democracy-than-ever,"In 2020 the media was faced with the dual challenge of covering a pandemic and an avalanche of misinformation. In this episode of Full Story, Guardian Australia editor Lenore Taylor discusses how Australia’s response compared with other countries and the challenges ahead for journalism",2021-01-20,"Presented by Lucy Clark with Lenore Taylor and introduced by Laura Murphy-Oates. Produced by Miles Herbert, Ellen Leabeater and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson"
Joëlle Gergis on mourning and making sense of what we have lost on the frontlines of the climate crisis,https://www.theguardian.com/australia-news/audio/2021/jan/19/joelle-gergis-on-mourning-and-making-sense-of-what-we-have-lost-on-the-frontlines-of-the-climate-crisis,Climate scientist and writer Joëlle Gergis speaks about the incalculable loss already suffered due to climate change and why the only way forward is to acknowledge the grief rather than ignore it,2021-01-19,Presented by Lucy Clark with Joëlle Gergis. Introduced by Laura Murphy-Oates and produced by Miles Herbert and Joe Koning
Jennifer Mills on how pandemic solidarity can help us tackle climate change and inequality,https://www.theguardian.com/australia-news/audio/2021/jan/18/jennifer-mills-on-how-pandemic-solidarity-can-help-us-tackle-climate-change-and-inequality,"Author Jennifer Mills reflects on how the idea of breath ties together the three crises of 2020: the climate crisis, racial injustice and the pandemic. She compares Australia’s ‘gas-led recovery’ plan to Europe’s willingness to embrace solutions to the climate emergency as part of its economic recovery",2021-01-18,Presented by Gabrielle Jackson with Jennifer Mills. Produced by Miles Herbert and Ryan Pemberton. The executive producer is Miles Martignoni
Gabrielle Chan on the challenges and opportunities in Australian food production,https://www.theguardian.com/australia-news/audio/2021/jan/15/gabrielle-chan-on-the-challenges-and-opportunities-in-australian-food-production,Journalist and author Gabrielle Chan examines the weaknesses in global supply chains and how we can learn from small businesses that helped to fill gaps that were exposed by the Covid-19 pandemic,2021-01-15,"Presented by Lucy Clark with Gabrielle Chan and introduced by Laura Murphy-Oates. Produced by Jake Morcom, Ellen Leabeater and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson"
Kim Scott on using fragments of the past to create a better future,https://www.theguardian.com/australia-news/audio/2021/jan/14/kim-scott-on-reconnecting-to-noongar-identity-through-story,"Noongar author Kim Scott has been combing through colonial records, looking for entries related to his people’s culture and history. In this interview he describes travelling across Noongar country, piecing these records together with the knowledge of elders and community members – both Indigenous and non-Indigenous",2021-01-14,Presented by Laura Murphy-Oates with Kim Scott. Produced by Jake Morcom and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson
Jane Rawson on disaster inequality and how to cope with what the future may hold,https://www.theguardian.com/australia-news/audio/2021/jan/13/jane-rawson-on-disaster-inequality-and-how-to-cope-with-what-the-future-may-hold,Australian novelist and environmentalist Jane Rawson explains why trying to keep yourself safe from the effects of climate change can only go so far and why the only way to be truly safe from global heating is to totally change the way we run the world,2021-01-13,"Presented by Lucy Clark with Jane Rawson. Introduced by Laura Murphy-Oates, produced by Karishma Luthria, Jake Morcom, Ellen Leabeater and Ryan Pemberton. The executive producers are Miles Martignoni and Gabrielle Jackson"
Richard McGregor on where to for Australia's tumultuous relationship with China in 2021,https://www.theguardian.com/australia-news/audio/2021/jan/12/richard-mcgregor-on-where-to-for-australias-tumultuous-relationship-with-china-in-2021,"In 2014 Chinese president Xi Jinping came to Australia to address the parliament. Just over six years later, Australian politicians don’t seem to be able to get a Chinese politician to answer their phone calls. Author Richard McGregor explains why the once-cosy relationship between the two countries can never go back to the way it was",2021-01-12,Presented by Gabrielle Jackson with Richard McGregor. Produced by Miles Herbert and Ryan Pemberton. The executive producer is Miles Martignoni
"Nyadol Nyuon on race, survival and the need for empathy",https://www.theguardian.com/australia-news/audio/2021/jan/11/nyadol-nyuon-on-race-survival-and-the-need-for-empathy,Lawyer and human rights advocate Nyadol Nyuon on how the pandemic brought back memories of her childhood in a refugee camp in Kenya and why empathy must be at the heart of our decision-making,2021-01-11,Presented by Laura Murphy-Oates with Nyadol Nyuon. Produced by Karishma Luthria and Joe Koning
Revisited: the clitoris coverup,https://www.theguardian.com/australia-news/audio/2021/jan/08/revisited-the-clitoris-coverup,"Medical textbooks are full of anatomical pictures of the penis, but the clitoris barely rates a mention, with many medical professionals uncomfortable even talking about it. Reporter Calla Wahlquist and associate news editor Gabrielle Jackson explain the history and science of the clitoris, and speak to the scientists and artists dedicated to demystifying it",2021-01-08,"Presented by Laura Murphy-Oates and reported by Calla Wahlquist and Gabrielle Jackson. Produced by Ellen Leabeater,  Karishma Luthria and Joe Koning. Miles Martignoni is the executive producer"
