title,link,description,published,contributors
The deeply troubling world of deepfakes,https://www.theguardian.com/australia-news/audio/2024/jun/18/the-deeply-troubling-world-of-deepfakes-full-story-podcast,Dozens of young female students in Victoria last week had innocuous photos of themselves taken from social media and manipulated into graphic nude images using artificial intelligence.Investigations reporter Ariel Bogle speaks to Nour Haydar about the dangers of deepfakes,2024-06-18,"Presented by Nour Haydar with Ariel Bogle. Produced by Miles Herbert, sound design and mixing by Joe Koning. Executive producer Hannah Parkes"
Two years in: Amy Remeikis’ Labor report card,https://www.theguardian.com/australia-news/audio/2024/jun/17/two-years-in-amy-remeikis-labor-report-card-full-story-podcast,"Anthony Albanese came into government promising a new way of doing politics.Two years on, some of the gloss has come off the Labor government as the Coalition gains momentum in the polls.Political reporter Amy Remeikis tells Jane Lee why Labor is struggling in the polls and why we could expect an election before the end of the year",2024-06-17,Presented by Jane Lee with Amy Remeikis. Produced by Allison Chan. Sound design and mix by Camilla Hannan. Executive producer Hannah Parkes
The destructive consequences of financial abuse,https://www.theguardian.com/australia-news/audio/2024/jun/17/the-destructive-consequences-of-financial-abuse-full-story-podcast,For women in violent or abusive relationships money can be a key factor that determines whether they stay or leave. Reporter Kate Lyons speaks to Nour Haydar about what she found after sitting in on financial abuse counselling sessions – and what needs to change to stop abuse,2024-06-17,Presented by Nour Haydar with Kate Lyons. Produced by Miles Herbert and Joe Koning. The executive producer is Miles Martignoni
US politics: Hunter Biden’s conviction and a confusing Republican response,https://www.theguardian.com/australia-news/audio/2024/jun/16/us-politics-hunter-bidens-conviction-and-a-confusing-republican-response-full-story-podcast,"On Tuesday, Hunter Biden was found guilty on all three criminal charges relating to buying a handgun while being a user of crack cocaine. His father – the US president – was firm in his support for his son but also in his belief in the justice system.After Donald Trump was convicted in a New York court last month, rightwing pundits and Republican politicians were lining up to accuse the Biden administration of rigging the justice system for political advantage. Yet now the courts have convicted Biden’s own son.Jonathan Freedland is joined by Susan Glasser of the New Yorker to look at how the right has decided to spin this latest conviction",2024-06-16,"Presented by Jonathan Freedland, with Susan Glasser. Produced by Danielle Stephens. The executive producer is Maz Ebtehaj"
Newsroom edition: the consequences of Peter Dutton’s climate war,https://www.theguardian.com/australia-news/audio/2024/jun/14/newsroom-edition-the-consequences-of-peter-duttons-climate-war-full-story-podcast,"If elected, opposition leader Peter Dutton says he will abandon Australia’s 43% emissions reduction target for 2030. The prime minister, Anthony Albanese, labeled the comments divisive, and climate experts say Dutton’s position will put Australia in breach of the landmark Paris agreement.Bridie Jabour speaks to editor-in-chief Lenore Taylor and climate and environment editor Adam Morton about the consequences of putting politics ahead of good climate policy",2024-06-14,Presented by Bridie Jabour with Lenore Taylor and Adam Morton . Produced by Miles Herbert with sound design and mixing by Cinnamon Nippard .
"Anthony Albanese on climate change, Gaza and China",https://www.theguardian.com/australia-news/audio/2024/jun/12/anthony-albanese-on-climate-change-gaza-and-china-full-story-podcast,"Guardian Australia political editor Karen Middleton speaks with prime minister Anthony Albanese about the Coalition’s decision to ditch the 2030 emissions target, pro-Palestine protests outside electorate offices, and the Indigenous voice eight months on",2024-06-12,"Presented by Karen Middleton, produced by Cinnamon Nippard and Joe Koning, who also did the sound design and mix. Executive producer Hannah Parkes"
How a far-right push in Europe triggered a shock election in France,https://www.theguardian.com/australia-news/audio/2024/jun/11/how-a-far-right-push-in-europe-triggered-a-shock-election-in-france-full-story-podcast,"The far right has made significant gains in the European parliament elections. The French president, Emmanuel Macron, has responded with a high-stakes gamble",2024-06-11,Presented by Michael Safi with Jon Henley ; produced by Alex Atack and Sami Kent ; executive producer Homa Khaleeli
Does fast food have a supersized influence over Australian media?,https://www.theguardian.com/australia-news/audio/2024/jun/10/does-fast-food-have-a-supersized-influence-over-australian-media-full-story-podcast,"Newsrooms constantly receive carefully curated press releases from companies and, while they usually form one side of the story, a new study has found that, when it comes to the fast food industry, a number of Australian media outlets aren’t fulfilling their half of the bargain. Health reporter Natasha May tells Matilda Boseley how news outlets are producing ‘covert marketing’ for fast food brands despite public health concerns about the poor nutritional quality of their menus  You can support the Guardian at theguardian.com/fullstorysupport",2024-06-10,Presented by Matilda Boseley with Natasha May. Produced by Luca Ittimani and Karishma Luthria. Sound design and mix by Joe Koning. Executive producer Miles Martignoni.
Why is Rishi Sunak predicted to lose the UK election?,https://www.theguardian.com/australia-news/audio/2024/jun/10/why-is-rishi-sunak-predicted-to-lose-the-uk-election-full-story-podcast,"Ever since a rain-soaked UK prime minister Rishi Sunak unexpectedly announced an early general election, the prevailing consensus has been that he will lead the Tories to a loss on 4 July.Jane Lee speaks to Guardian columnist Jonathan Freedland about how 14 years of Conservative rule have shaped the country and what’s at stake for Britons in this campaign",2024-06-10,"Presented by Jane Lee with Jonathan Freedland. Produced by Allison Chan, sound design and mixing by Joe Koning, additional production by Luca Ittimani. Executive producer Miles Martignoni"
US politics: the supreme court’s ethics problem — Full Story podcast,https://www.theguardian.com/australia-news/audio/2024/jun/09/the-alito-flag-scandal-and-the-us-supreme-courts-ethics-problem-full-story-podcast,"Reports surfaced a few weeks ago that a supreme court justice, Samuel Alito, had flown an upside-down US flag outside his home days after insurrectionists flew similar flags when they stormed the Capitol on 6 January 2021. Alito has blamed his wife, saying he wanted her to take down the flag after a dispute with neighbours. Democrats want Alito to recuse himself from any supreme court case involving 6 January, but he has refused to do so. Jonathan Freedland speaks to Amanda Marcotte of Salon about whether this latest scandal is proof that the supreme court is incapable of being unbiased",2024-06-09,"Presented by Jonathan Freedland with Amanda Marcotte, produced by Danielle Stephens and the executive producer is Phil Maynard"
Newsroom edition: how lobbyists delay reforms everyone else wants,https://www.theguardian.com/australia-news/audio/2024/jun/06/newsroom-edition-how-lobbyists-delay-reforms-everyone-else-wants-full-story-podcast,"Despite a bipartisan committee unanimously agreeing to a nationwide ban, gambling ads are still everywhere. Extensive lobbying efforts from broadcasters and other corporate interests have slowed reform while these harmful ads continue to air. But its not just gambling – lobbying has halted progress on the climate crisis and some of the most crucial issues in our society.Bridie Jabour talks to editor-in-chief Lenore Taylor and head of news Mike Ticher about how lobbying can get in the way of good governance",2024-06-06,Presented by Bridie Jabour with Lenore Taylor and Mike Ticher. Produced by Miles Herbert with sound design and mixing by Cinnamon Nippard.
Australia’s response to the ICC’s case against Netanyahu,https://www.theguardian.com/australia-news/audio/2024/jun/05/australias-response-to-the-iccs-case-against-netanyahu-full-story-podcast,"The international criminal court’s pursuit of senior Israeli and Hamas leaders over war crimes has ignited a fiery political debate in Canberra. Foreign affairs and defence correspondent Daniel Hurst tells Nour Haydar why the government’s response has been cautious, and criticised by the Coalition and Greens  You can support the Guardian at theguardian.com/fullstorysupport",2024-06-05,Presented by Nour Haydar with Daniel Hurst. Produced by Karishma Luthria. Sound design and mix by Joe Koning. Executive producer Hannah Parkes
A journey on weight-loss drug Ozempic,https://www.theguardian.com/australia-news/audio/2024/jun/04/a-journey-on-weight-loss-drug-ozempic-full-story-podcast,"The Danish company behind the weight-loss drug has made millions, but without health insurance it is unaffordable for many. George Chidi reports",2024-06-04,"Presented by Hannah Moore with George Chidi; produced by Tom Glasser, Eli Block and Rudi Zygadlo; executive producer Homa Khaleeli"
‘Items of interest’ found in search for Samantha Murphy,https://www.theguardian.com/australia-news/audio/2024/jun/03/items-of-interest-found-in-the-search-for-samantha-murphy-full-story-podcast,It’s been four months since 51-year-old Samantha Murphy disappeared after leaving for her morning run in the Victorian town of Ballarat.Victoria state reporter Adeshola Ore tells Nour Haydar about the latest in the  police investigation,2024-06-03,Presented by Nour Haydar with Adeshola Ore produced by Miles Herbert sound design and mix by Joe Koning. Executive producer Hannah Parkes
Will another immigration scandal topple a minister?,https://www.theguardian.com/australia-news/audio/2024/jun/03/will-another-immigration-scandal-topple-a-minister-full-story-podcast,The Albanese government is once again under pressure over immigration detention. This time because an independent tribunal gave visas back to non-citizens with serious criminal convictions. Chief political correspondent Paul Karp tells Jane Lee why the coalition has demanded the immigration minister’s resignation  You can support the Guardian at theguardian.com/fullstorysupport,2024-06-03,Presented by Jane Lee with Paul Karp. Produced by Karishma Luthria and Joe Koning who also did the sound design and mix. Additional production by Luca Ittimani. Executive producer Hannah Parkes
Trump guilty on all counts – so what happens next?,https://www.theguardian.com/australia-news/audio/2024/may/31/trump-guilty-on-all-counts-so-what-happens-next-full-story-podcast,"Donald Trump has made history again, becoming the first US president, sitting or former, to be a convicted criminal. Late on Thursday a New York jury found him guilty on all 34 counts of falsifying records to cover up a sex scandal. Within minutes of leaving the courtroom, Trump said he would appeal.On an historic night for US politics, Politics Weekly America host Jonathan Freedland speaks to Guardian US reporter Sam Levine about what the hush-money trial verdict will mean – both for Trump and for the election in November",2024-05-31,Presented by Jonathan Freedland with Sam Levine. Produced by Danielle Stephens. The executive producer is Phil Maynard
Newsroom edition: why it feels like a recession even though it’s not,https://www.theguardian.com/australia-news/audio/2024/may/31/newsroom-edition-why-it-feels-like-a-recession-even-though-its-not-full-story-podcast,"While the Australian economy has not dipped into recession, consumers are still struggling to afford the essentials. This widening gap between a slightly improving economy and households continuing to feel the pinch of the cost-of-living crisis has been called a ‘vibecession’.Bridie Jabour speaks with deputy editor Patrick Keneally and head of news Mike Ticher about how the economy is making Australians feel and why that may say more than the numbers",2024-05-31,Presented by Bridie Jabour with Patrick Keneally and Mike Ticher. Produced by Miles Herbert and Luca Ittimani. Sound design and mixing by Cinnamon Nippard with Joe Koning
Why a ‘good job’ doesn’t guarantee a home any more,https://www.theguardian.com/australia-news/audio/2024/may/29/why-a-good-job-doesnt-guarantee-a-home-any-more-full-story-podcast,"After two years of high inflation and interest rates, even well-paid Australians are being forced to cut back and sell their homes. But not everyone is sharing the pain. Senior business reporter Jonathan Barrett tells Jane Lee about the drastic measures many are taking to make ends meet and why having a ‘good job’ no longer means home ownership is within reach  You can support the Guardian at theguardian.com/fullstorysupport",2024-05-29,Presented by Jane Lee with Jonathan Barrett. Produced by Karishma Luthria and Luca Ittimani. Sound design and mix by Cinnamon Nippard. Executive producer Hannah Parkes
How New Caledonia caught fire,https://www.theguardian.com/australia-news/audio/2024/may/28/how-new-caledonia-caught-fire-full-story-podcast,It’s been more than two weeks since riots broke out on the streets of New Caledonia in response to plans to enfranchise long-term French residents in the Pacific territory.Reged Ahmad speaks to campaigner Jimmy Naouna about the fight for Kanak independence and what it will take to restore peace,2024-05-28,Presented by Reged Ahmad produced by Miles Herbert and Camilla Hannan sound design and mix by Joe Koning Executive producer Hannah Parkes
Inside a women’s shelter at the height of a national crisis,https://www.theguardian.com/australia-news/audio/2024/may/27/inside-a-womens-shelter-at-the-height-of-a-national-crisis-full-story-podcast,"Frontline women’s services say they are under immense strain and cannot keep up with the demand for crisis housing. Are governments providing enough funding where it’s needed? Full Story host Nour Haydar goes inside one of the nation’s newest refuges for women and children escaping domestic violence, and speaks to the chief executive of Women’s Community Shelters Annabelle Daniel about the crisis accommodation shortage  You can support the Guardian at theguardian.com/fullstorysupport",2024-05-27,Presented by Nour Haydar. Produced by Karishma Luthria and Camilla Hannan. Executive producer is Hannah Parkes
