title,link,description,published,contributors
Coming soon: the palace letters,https://www.theguardian.com/australia-news/audio/2020/jul/14/coming-soon-the-palace-letters,"Ever since the dramatic dismissal of Gough Whitlam’s Labor government in November 1975, there has been speculation about the Queen’s role in the episode. On the morning of Tuesday 14 July, 200 exchanges between the Queen, her private secretary and Australia’s then governor general will be released. We’re putting Full Story out later today so we can tell you what’s inside the letters and what it means for Australia.",2020-07-14,Presented by Laura Murphy-Oates and produced by Miles Martignoni
The scandal of millions of Americans deprived of running water,https://www.theguardian.com/australia-news/audio/2020/jul/13/the-scandal-of-millions-of-americans-deprived-of-running-water,"Guardian US environmental justice reporter Nina Lakhani reports on her landmark investigation into America’s water crisis, revealing that millions of Americans are facing unaffordable bills for running water and risk being disconnected or losing their homes",2020-07-13,"Presented by Anushka Asthana and reported by Nina Lakhani. Produced by Rose de Larrabeiti, Courtney Yusuf and AAxel Kacoutié. The executive producers are Nicole Jackson and Phil Maynard. Adapted by Laura Murphy-Oates and Miles Martignoni"
"Power, privilege and sexual harassment in the Australian legal profession",https://www.theguardian.com/australia-news/audio/2020/jul/10/power-privilege-and-sexual-harassment-in-the-australian-legal-profession,"Last month, an independent investigation commissioned by the high court of Australia found former high court justice Dyson Heydon sexually harassed six junior court staff, allegations which Heydon categorically denies. But this case has prompted an outpouring of stories about a culture of harassment and gender bias in the legal industry",2020-07-10,Presented by Laura Murphy-Oates and reported by Naaman Zhou and Catharine Lumby. Produced by Ellen Leabeater and Joe Koning. The executive producers are Gabrielle Jackson and Miles Martignoni
Maria Ressa and the increasing attacks on the free press in the Philippines,https://www.theguardian.com/australia-news/audio/2020/jul/09/maria-ressa-and-the-increasing-attacks-on-the-free-press-in-the-philippines,One of the most prominent journalists in the Philippines has been convicted of ‘cyberlibel’ in a court process condemned by human rights groups. Journalist Carmela Fonbuena in Manila describes the chilling effect the verdict has had on free expression,2020-07-09,Presented by Rachel Humphreys and reported by Carmela Fonbuena. Produced by Elizabeth Cassin and Axel Kacoutié. The executive producers are Phil Maynard and Nicole Jackson. Adapted by Laura Murphy-Oates and Joe Koning
How Melbourne ended up under a second Covid-19 lockdown,https://www.theguardian.com/australia-news/audio/2020/jul/08/how-melbourne-ended-up-under-a-second-covid-19-lockdown,"For weeks now the Victorian government has been desperately trying to get the coronavirus outbreak under control. It locked down postcodes, public housing towers and finally Melbourne itself. In this episode of Full Story, reporter Melissa Davey explains how it all unfolded",2020-07-08,Hosted by Laura Murphy-Oates and reported by Melissa Davey. Produced by Ellen Leabeater and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson
Inside the Covid-19 hard lockdown of Melbourne's public housing towers,https://www.theguardian.com/australia-news/audio/2020/jul/07/inside-hard-lockdown-of-melbourne-public-housing-towers,"On Saturday afternoon, 3,000 people living in nine public housing towers in the suburbs of Flemington of North Melbourne found themselves placed under a ‘hard lockdown’ to help stem the spread of Covid-19, thanks to a sudden announcement from the Victorian government. They cannot leave their units, except for emergencies, are subject to mandatory testing and are being monitored by 500 police officers. We spoke to Hiba Shanino, one of those confined in the towers",2020-07-07,Presented by Laura Murphy-Oates. Produced by Ellen Leabeater and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson
"Understanding white privilege, with Reni Eddo-Lodge",https://www.theguardian.com/australia-news/audio/2020/jul/06/understanding-white-privilege-with-reni-eddo-lodge,"Reni Eddo-Lodge, author of the 2017 book Why I’m No Longer Talking to White People About Race talks to the Observer’s Nosheen Iqbal about global discussions on racism following the death of George Floyd",2020-07-06,Presented by Rachel Humphreys with Nosheen Iqbal and Reni Eddo-Lodge; produced by Hannah Moore and Axel Kacoutié; executive producers Nicole Jackson and Phil Maynard. Adapted by Gabrielle Jackson and Joe Koning
What's the big deal about the Eden-Monaro byelection?,https://www.theguardian.com/australia-news/audio/2020/jul/03/whats-the-big-deal-about-the-eden-monaro-byelection,"Ravaged by the twin crises of the bushfires and pandemic, the seat of Eden-Monaro in the south-east of NSW goes to a byelection on Saturday. If the Coalition wins, it will be the first time in a century the government has won a seat from the opposition in a byelection and that will be bad news for Labor leader Anthony Albanese. Paul Karp takes a look at the contest and explains what the outcomes could mean",2020-07-03,Presented by Laura Murphy-Oates and reported by Paul Karp. Produced by Ellen Leabeater and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson
The green recovery: what is it and will Australia miss a once in a lifetime opportunity?,https://www.theguardian.com/australia-news/audio/2020/jul/02/the-green-recovery-what-is-it-and-will-australia-miss-a-once-in-a-lifetime-opportunity,"As countries around the world begin restarting their economies after the coronavirus crisis, a growing chorus of prominent leaders have labelled this is a once-in-a-lifetime opportunity to tackle climate change by targeting post-pandemic stimulus toward areas that promote renewable energy. Will Australia take heed or continue to rely on fossil fuels?",2020-07-02,Presented by Laura Murphy-Oates and reported by Adam Morton. Produced by Ellen Leabeater and Joe Koning. The executive producers are Miles Martignoni and Gabrielle Jackson
How did Jordan end up with the highest smoking rate in the world?,https://www.theguardian.com/australia-news/audio/2020/jul/01/how-did-jordan-end-up-with-the-highest-smoking-rate-in-the-world,"When international correspondent Michael Safi began looking into why Jordan had become the country with the world’s highest smoking rates, he began to uncover what public health advocates have described as widespread interference in policymaking by multinational tobacco companies",2020-07-01,Presented by Anushka Asthana and reported by Michael Safi. Produced by Joshua Kelly and Axel Kacoutié. The executive producers are Nicole Jackson and Phil Maynard. Adapted by Laura Murphy-Oates and Miles Martignoni
