title,link,description,published,contributors
Sara Haddad on why Australia’s MPs should do the reading on Palestine,https://www.theguardian.com/australia-news/audio/2024/dec/16/sara-haddad-on-why-australia-mps-should-do-the-reading-on-palestine-full-story-podcast,"This summer Australian politicians are being encouraged to read more widely on the history of Palestine.Five books were sent to all 227 federal MPs and senators as part of a campaign backed and funded by dozens of Australia’s most prominent authors.And in the bundle is one work of fiction – a novella by a Sydney-based author.Nour Haydar speaks with author of The Sunbird Sara Haddad about the summer reading for MPs initiative, Palestine, and writing as activism",2024-12-16,"Presented by Nour Haydar with Sara Haddad. Produced by Karishma Luthria with assistance from Miles Herbert. Sound design and mixing Camilla Hannan,  Hannah Parkes is the executive producer of Full Story"
Newsroom edition: the strategy behind Peter Dutton’s culture wars,https://www.theguardian.com/australia-news/audio/2024/dec/13/newsroom-edition-the-strategy-behind-peter-duttons-culture-wars-full-story-podcast,"Last Friday, a large blaze engulfed a synagogue in Melbourne — which authorities are treating as an act of terrorism. It prompted the federal government to set up a special taskforce to investigate antisemitism in Australia. But in the aftermath, Peter Dutton was accused of ‘disgusting’ political point-scoring by escalating the Coalition’s already growing criticism of the government’s response and by attacking Jewish Labor MP Josh Burns.Bridie Jabour talks to the head of newsroom, Mike Ticher, and the national news editor, Jo Tovey, about Peter Dutton’s strongman politics and why he is stoking culture wars",2024-12-13,Presented by Bridie Jabour with Mike Ticherand Josephine Tovey. Produced by Miles Herbert and Camilla Hannan.
Has South Korea’s martial law fiasco changed the country forever?,https://www.theguardian.com/australia-news/audio/2024/dec/11/has-south-koreas-martial-law-fiasco-changed-the-country-forever-full-story-podcast,"Last week South Korea’s president, Yoon Suk Yeol, shocked the world when he declared martial law.Although the decision was reversed hours later, Yoon had taken the country into a new and unnerving chapter in its young democracy.Reged Ahmad speaks to Seoul-based journalist Raphael Rashid about why the streets have now exploded with anger and whether the country can come back from the brink",2024-12-11,Presented by Reged Ahmad with Raphael Rashid; produced by Allison Chan and Karishma Luthria with additional production assistance by Isabella Lee; sound design and mix by Camilla Hannan; executive producer is Hannah Parkes
"The ‘senseless, shocking and preventable’ deaths at the centre of a landmark domestic violence inquiry",https://www.theguardian.com/australia-news/audio/2024/dec/10/the-senseless-shocking-and-preventable-deaths-at-the-centre-of-a-landmark-domestic-violence-inquiry-full-story-podcast,"The Northern Territory coroner has handed down findings in an inquest into the horrific domestic violence deaths of four Aboriginal women. The landmark report exposed systemic failings and made 35 recommendations aimed at stemming what the coroner called an “epidemic of violence”.Nour Haydar speaks to Guardian Australia’s Indigenous affairs editor, Lorena Allam, and Indigenous affairs reporter, Sarah Collard, about the four women at the centre of the inquest and the coroner’s findings",2024-12-10,Presented by Nour Haydar with Lorena Allam and Sarah Collard. Produced by Miles Herbert. The executive producer of Full Story is Hannah Parkes
Inside Damascus after the fall of Bashar al-Assad,https://www.theguardian.com/australia-news/audio/2024/dec/10/inside-damascus-after-the-fall-of-bashar-al-assad-full-story-podcast,"Foreign correspondent William Christou travels to Damascus, hours after Syria’s decades-long dictator Bashar al-Assad is ousted from power, and asks whether the country’s 13-year civil war has finally come to an end Read More:  Who are the main actors in the fall of the regime in Syria? I wept and wept as I watched the Syrian regime fall. At last, I have a home again",2024-12-10,"Presented by Michael Safi with William Christou. Produced by Alex Atack, Hannah Moore and Rudi Zygadlo. Executive producer Sami Kent."
How the housing crisis is reshaping Australia,https://www.theguardian.com/australia-news/audio/2024/dec/09/how-the-housing-crisis-is-reshaping-australia-full-story-podcast,"As rents continue to increase at alarming rates and more Australians are priced out of the housing market, the Guardian put the call out to readers for their experiences from inside the housing crisis. The response was overwhelming.Reporter Daisy Dumas tells Reged Ahmad what 150 readers have to say about how the pressures of renting and buying have affected their income, relationships and health",2024-12-09,Presented by Reged Ahmad with Daisy Dumas; produced by Karishma Luthria and Allison Chan; sound design and mix by Cinnamon Nippard; the executive producer is Hannah Parkes
What really helps with hangovers?,https://www.theguardian.com/australia-news/audio/2024/dec/09/what-really-helps-with-hangovers-full-story-podcast,"What if you could take a pill or a shot that reduced your blood alcohol level and made you feel better in the morning?That’s the promise of a range of wellness products aiming to be the next big hangover antidote. But what exactly are hangovers, and which methods of preventing them are backed by science?Madeleine Finlay speaks to Dr Sally Adams, an alcohol researcher and associate professor of psychology at the University of Birmingham",2024-12-09,Presented by Madeleine Finlay with Dr Sally Adams. Produced by Madeleine Finlay and Joshan Chana; sound design by Joel Cox; the executive producer is Ellie Bury
Newsroom edition: News Corp’s gas splash and the mining industry’s election agenda,https://www.theguardian.com/australia-news/audio/2024/dec/06/newsroom-edition-news-corps-gas-splash-and-the-mining-industrys-election-agenda-full-story-podcast,"A story splashed across the front of News Corp’s biggest-selling tabloid newspapers this week was all about gas. We need to ‘step on the gas’, the papers said, to avoid higher bills and blackouts. But the ‘special report’ was actually ‘proudly sponsored’ by the fossil fuel industry.Bridie Jabour talks to Guardian Australia’s editor, Lenore Taylor, and deputy editor Patrick Keneally about how the mining industry – and the media – are trying to shape the election agenda",2024-12-06,"Presented by Bridie Jabour, with Lenore Taylor and Patrick Keneally. Produced by Camilla Hannan and Miles Herbert"
The ‘heartfelt hypocrisy’ of Hunter Biden’s pardon,https://www.theguardian.com/australia-news/audio/2024/dec/05/the-heartfelt-hypocrisy-of-hunter-bidens-pardon-full-story-podcast,"Despite saying multiple times that he would never do it, the US president, Joe Biden, has now pardoned his only surviving son. Hunter Biden was due to face sentencing later this month for his conviction on federal gun charges and a separate tax case. The decision, as America prepares for the return of the president-elect, Donald Trump, has left some Democratic lawmakers frustrated and disappointed. Reged Ahmad speaks to the Guardian’s Washington DC bureau chief David Smith about the ‘heartfelt hypocrisy’ of Biden’s balancing act between country and family, and why he sees Biden’s controversial move as a vote of no confidence in America’s institutions as he walks out the door  You can support the Guardian at theguardian.com/fullstorysupport",2024-12-05,Presented by Reged Ahmad with David Smith; produced by Allison Chan and Karishma Luthria; sound design and mixing by Camilla Hannan; the executive producer is Hannah Parkes
Is Australia’s federal election closer than we think?,https://www.theguardian.com/australia-news/audio/2024/dec/03/is-australias-federal-election-closer-than-we-think-full-story-podcast,"Parliament has wrapped for 2024 and politicians are now back in their electorates for the summer. Labor ended the year on a high, striking deals to pass more than 30 pieces of legislation through the Senate in just one day.And while the sitting year is over, speculation is still running hot over when the prime minister will call the federal election.Nour Haydar speaks to chief political correspondent Paul Karp about what the government achieved – and compromised – in the final frenetic sitting day, and what Anthony Albanese could now be weighing up as he decides when voters will head to the polls",2024-12-03,Presented by Nour Haydar with Paul Karp; produced by Miles Herbert with sound design and mix by Camilla Hannan; Executive producer is Hannah Parkes
